n,time_seconds
1,0.06998680019751191
2,0.06366520002484322
4,0.06741719972342253
8,0.06510889995843172
16,0.05699479999020696
32,0.071184900123626
64,0.06265650037676096
128,0.07585459994152188
256,0.12807840015739202
512,0.27059239987283945
